"sku","ten_san_pham","local_image_path","hinh_anh_url","source_page_url","status","notes"
"VB-006","Bóng chuyền bãi biển Wilson AVP OPTX Official Game Volleyball","","","","pending",""
"VB-007","Bóng chuyền Tachikara SV5WSC Sensi-Tec","","","","pending",""
"VB-008","Bóng chuyền bãi biển Mikasa BV550C Beach Pro","","","","pending",""
"VB-009","Bóng chuyền bãi biển Molten V5B5000","","","","pending",""
"VB-010","Giày bóng chuyền adidas Crazyflight Mid","","","","pending",""
"VB-011","Giày bóng chuyền Mizuno Wave Lightning Z8","","","","pending",""
"VB-012","Giày bóng chuyền ASICS Sky Elite FF 3","","","","pending",""
"VB-013","Giày bóng chuyền ASICS Gel-Rocket 11","","","","pending",""
"VB-014","Giày bóng chuyền Nike Zoom Hyperset 2","","","","pending",""
"VB-015","Bảo vệ gối bóng chuyền Mizuno LR6 Kneepad","","","","pending",""
